,6061AL/BHN,4340Stl/BHN,6061AL/HRB,4340Stl/HRB,6061AL/HRC,4340Stl/HRC
1,0.0,705.0,56.5,123.0,-19.2,64.0
2,91.3,0.0,52.2,122.4,-15.9,65.3
3,0.0,766.0,54.6,123.1,-17.6,65.2
4,104.0,0.0,59.2,123.2,-19.1,64.9
5,0.0,734.0,53.5,124.0,-15.9,64.9
6,92.3,0.0,53.6,123.0,-19.9,64.4
7,123.0,0.0,57.0,122.5,-17.3,65.0
8,0.0,697.0,52.9,123.2,-22.1,52.9
9,100.0,0.0,50.7,123.4,-21.6,64.5
10,0.0,734.0,54.2,122.8,-19.3,64.3
11,115.0,0.0,51.3,122.8,-19.3,64.5
12,91.0,0.0,54.1,122.8,-15.6,63.5
13,0.0,719.0,54.0,116.7,-21.9,64.1
14,0.0,689.0,53.2,123.6,-21.9,64.3
15,0.0,729.0,60.5,123.6,-16.9,64.3
16,91.3,0.0,56.8,123.5,-19.1,64.1
17,89.3,0.0,59.7,123.6,-20.2,64.3
18,0.0,746.0,60.5,123.6,-19.3,64.9
